post,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3
Q: Okae then bitch you dont got any quick comebacks now do you you fucking FAKE!!!/<br>A: wow pathetic much?,Yes,5,Okae then bitch you dont got any quick comebacks now do you you fucking FAKE!!!,Yes,4,Okae then bitch you dont got any quick comebacks now do you you fucking FAKE!!!/,Yes,9,"""""""""""""""bitch"""""""" """"""""you fucking FAKE"""""""" an accusatory, hurtful tone"""""""
Q: SLUT LEAVE BETTY ALONE CUNT FACE<br>A: she is the slut,Yes,1,Q: SLUT LEAVE BETTY ALONE CUNT FACE A: she is the slut,Yes,7,slut leave betty alone cunt face she is the slut,No,10,SLUT LEAVE BETTY ALONE CUNT FACE
Q: Sooo you have sex alot?<br>A: df no,No,0,,No,0,,Yes,4,asks about sex
Q: stay off of my formspring? I don&#039;t even know who you are..<br>A: why should I,Yes,1,stay off my formspring,No,0,,Yes,2,stay off of my formspring? I don't even know who you are.. A: why should I
Q: STFU YOU HOE. you piece of shiit.<br>A: wow i feel insulted,Yes,9,"""""""""""""""STFU YOU HOE"""""""" """"""""you piece of shiit""""""""""""""",Yes,5,STFU you hoe. You piece of shit,Yes,10,"""""""""""""""STFU YOU HOE. you piece of shiit."""""""""""""""
Q: stop annoying betty btw. you&#039;re  a really sad little girl/boy . You think ur all grown up now using big words . stupid child  living a fake life behind a damn keyboard and a screen. how more pathetic can you be ?<br>A: girl I'm not fake hun,Yes,6,stop annoying betty btw. you're a really sad little girl/boy . You think ur all grown up now using big words . stupid child living a fake life behind a damn keyboard and a screen. how more pathetic can you be ?,Yes,2,you're a really sad little girl/boy. how more pathetic can you be?,No,3,"""""""""""""""you're a really sad little girl/boy"""""""", """"""""stupid child living a fake life"""""""", and """"""""how more pathetic can you be?"""""""""""""""
Q: stop leaving stuff like &quot;fake&quot; on your own formsrping. dead give away dumbass. SUCK A CUNT<br>A: what are you talking about?,Yes,1,dead give away dumbass. SUCK A CUNT,Yes,8,"""""""fake, dumbass, """"""""suck a cunt""""""""""""""",Yes,8,SUCK A CUNT
Q: Stop making fakes of yourself. You are ugly as fuck. You&#039;re not actually 16 bitch. And you&#039;re deff not a cyrus. Get a mother fucking life  cunt.<br>A: I don't make fakes of myself person so get your fakes straight js,Yes,7,"""""""Stop making fakes of yourself. You are ugly as fuck. You're not actually 16 bitch. And you're deff not a cyrus. Get a mother fucking life, cunt.""""""",Yes,6,"""""""You are ugly as fuck. bitch. Get a mother fucking life, cunt.""""""",Yes,10,"""""""ugly as fuck, Get a mother fucking life, cunt, fakes, bitch"""""""
Q: sure  but you must spamr http://www.formspring.me/ddox3r &amp;r http://www.formspring.me/juliex2r or we wont continue spamming your (:<br>A: okay sure will,Yes,2,you must be a spammer,No,0,,No,,
Q: u know u care that betty is way better looking than u<br>A: she is fugly,Yes,4,fugly,Yes,6,"""""""""""""""better looking"""""""" and """"""""fugly""""""""""""""",Yes,1,Q: u know u care that betty is way better looking than u A: she is fugly
Q: Ugly piece of shit<br>A: stop talking about yourself.,Yes,8,Ugly piece of shit,Yes,1,Ugly piece of shit,Yes,4,Ugly piece of shit
Q: ugly.<br>A: i know you are,Yes,3,ugly. i know you are.,Yes,0,ugly,Yes,6,ugly is a hurtful term. answer implies the questioner is ugly.
Q: Uhm you did  right down there vvvvvvv. You&#039;re the &#039;dumbfuck&#039;.  Stop starting shit with everyone  kcoolbye.<br>A: bitch your the one who is copying me,Yes,9,You're the 'dumbfuck'. Stop starting shit...bitch,Yes,9,"""""""dumbfuck, shit, bitch""""""",Yes,7,"""""""""""""""you're the dumbfuck"""""""", """"""""bitch"""""""""""""""
Q: Ur face is nasty<br>A: yep,Yes,2,"""""""The questioner was insulting the other poster by calling their face """"""""nasty.""""""""""""""",Yes,2,Face nasty,No,4,
Q: ur pretty screw every one below me :P<br>A: thanks : ),No,0,,No,0,,Yes,2,"""""""""""""""screw every one below me"""""""""""""""
Q: what am i going to do? hahaha  what am i going to do? haha  what im going to do is get some bitchess to kick the living shit out of your ugly fake wanna be bitch made ass.<br>A: yea right don't make me laugh,Yes,9,"""""""""""""""what im going to do is get some bitchess to kick the living shit out of your ugly fake wanna be bitch made ass""""""""""""""",Yes,4,Kick the living shit out of your ugly fake wanna be bitch made ass,Yes,10,kick the living shit out of your ugly fake wanna be bitch made ass.
Q: who are you?<br>A: yo momma,Yes,5,"""""""""""""""yo momma""""""""""""""",Yes,1,yo momma,No,0,
Q: who the fuck are you even?<br>A: a person :),Yes,1,who the fuck are you even?,No,0,,Yes,6,who the fuck are you
Q: why are you still alive?<br>A: idk D; you tell me,Yes,5,still alive,Yes,8,"""""""""""""""Why are you still alive?""""""""""""""",Yes,6,why are you still alive
Q: why are you stupid<br>A: WHY ARE YOU STUPID?,Yes,2,"""""""""""""""Stupid""""""""""""""",No,0,why are you stupid A: WHY ARE YOU STUPID?,Yes,1,stupid
Q: Why did you fake yourself? That&#039;s lameeee you know there is like a lot of hate groups on myspace of you?<br>A: I DON'T FAKE MYSELF SHUTUP,Yes,5,"""""""hate groups, shutup""""""",Yes,5,why don't you fake yourself,Yes,1,shutup
Q: Why do girls call themselves &quot;5 star chicks&quot; Butt  they still live at home with their mom? -_-<br>A: lmfao,No,,,No,0,,Yes,4,"""""""Why do girls call themselves """"""""5 star chicks"""""""" Butt, they still live at home with their mom?"""""""
Q: why do you fake yurself?<br>A: i don't fake myself,No,,,No,0,,Yes,1,why do you fake yurself
Q: why do you have so many friggin formsprings? geez<br>A: those are fakes,No,0,,No,0,,Yes,1,friggin
Q: why not? and all you have to say is &quot;nope&quot;. oh and leave people alone(: delete this you fucking fake :)<br>A: I AINT FAKE FYI,Yes,3,"""""""fucking, fake.""""""",Yes,5,delete this you fucking fake,Yes,7,"""""""""""""""why not? and all you have to say is """"""""nope"""""""". oh and leave people alone(: delete this you fucking fake :)"""""""""""""""
Q: wow you&#039;re a fucking fake. if you&#039;re tired of everyone talking shit on you formspring  either stop talking shit to them first  or delete the damn thing. gosh  you&#039;re fucking retarded. I forgot how stupid people are these days  and that would be you.<br>A: whatever bitch,Yes,10,"""""""""""""""wow you're a fucking fake. if you're tired of everyone talking shit on you formspring, either stop talking shit to them first, or delete the damn thing. gosh, you're fucking retarded. I forgot how stupid people are these days, and that would be you.""""""""""""""",Yes,1,you're fucking retarded,Yes,9,"""""""""""""""wow you're a fucking fake"""""""" uses curse words """"""""you're fucking retarded""""""""calls the person stupid  answer uses """"""""bitch"""""""""""""""
Q: Wow you&#039;re fucking stupid. You told a girl whoo had her info showing &quot;Show your face anonymus&quot; and your comebacks fucking suck. &quot;Fighting over the Internet is like being in the special olympics  even when you win  you&#039;re still retarded.&quot;<br>A: um looks who's talking your talking shit to me. stop being a hypocrite (:,Yes,10,fucking stupid fucking suck you're still retarded talking shit to me,Yes,3,"""""""Wow you're fucking stupid. You told a girl whoo had her info showing """"""""Show your face anonymus"""""""" and your comebacks fucking suck. """"""""Fighting over the Internet is like being in the special olympics, even when you win, you're still retarded.""""""""""""""",Yes,9,"""""""calls person """"""""fucking stupid"""""""" """"""""retarded"""""""" answerer calls the questioner a hypocrite and uses curse words"""""""
Q: y do u have a big nose seriously no girl have a big nose ?<br>A: so not as big as yours,Yes,3,"""""""""""""""As big as yours""""""""""""""",Yes,8,"""""""""""""""yo do u have a big nose"""""""" """"""""no girl have big nose"""""""" """"""""so not as big as yours""""""""""""""",Yes,5,y do u have a big nose seriously no girl have a big nose ? A: so not as big as yours
Q: Yo shorty  This bitch fake!<br>A: I'm not fake : ),No,0,,Yes,4,"""""""calls """"""""bitch"""""""" """"""""fake""""""""""""""",Yes,3,This bitch fake
Q: you are nasty. (:<br>A: so are you,Yes,6,you are nasty,Yes,2,You are nasty,No,,
Q: you are stupid and ugly.<br>A: that's what you are,Yes,4,you are stupid and ugly,Yes,3,"""""""""""""""you are stupid and ugly"""""""" and """"""""thats what you are""""""""""""""",Yes,3,stupid and ugly
Q: YOU DONT EVEN FUCKING HAVE FAKES STOP THE FUCKING BULLSHIT AND GET A LIFE JEZUSS. HOW OLD ARE YOU KID? LIFELESS BITCH YOU NEED HELP.<br>A: Yes i do,Yes,9,YOU DONT EVEN FUCKING HAVE FAKES STOP THE FUCKING BULLSHIT AND GET A LIFE JEZUSS. HOW OLD ARE YOU KID? LIFELESS BITCH YOU NEED HELP.,Yes,8,STOP THE FUCKING BULLSHIT AND GET A LIFE,Yes,1,GET A LIFE JEZUSS. HOW OLD ARE YOU KID? LIFELESS BITCH YOU NEED HELP
Q: YOU SHOULD DIE<br>A: kay,Yes,10,YOU SHOULD DIE,Yes,10,YOU SHOULD DIE,Yes,4,YOU SHOULD DIE
Q: you should listen to the song &quot;big weenie&quot; by eminem (: it describes you SO much!!!!! everyone feels this way towards you xD<br>A: lol are you sure your not describing yourself?,Yes,5,"""""""""""""""big weenie"""""""" by eminem (: it describes you SO much!!!!! everyone feels this way towards you xD""""""",Yes,2,"""""""""""""""it describes you SO much!!! everyone feels this way towards you""""""",No,0,
Q: You suck =]<br>A: you do nigga,Yes,3,"""""""""""""""you do nigga""""""""""""""",No,7,"""""""""""""""you suck"""""""" """"""""you nigga""""""""""""""",Yes,7,nigga
Q: you sure as hell look like a dog.  don&#039;t fucking call me &#039;hun&#039;.  got it.<br>A: i don't look like a damn dog hun lol i just did what you gonna do about it (:,Yes,7,"""""""""""""""you sure as hell look like a dog""""""""""""""",Yes,7,Q says A looks like dog. angry tone. A responds in a tone that provokes.,Yes,5,look like a dog what you gonna do about it
Q: you&#039;re fucking pathetic<br>A: so are you for commenting my formspring,Yes,5,you're fucking pathetic,Yes,,you're fucking pathetic,Yes,5,you're fucking pathetic
Q: you&#039;re mean.<br>A: okay,No,0,,Yes,2,you're mean,Yes,4,you're mean
Q: you&#039;re one of the ugliest bitches I&#039;ve ever fucking seen<br>A: have you seen your face lately because if you had you wouldn't be talkin hun (:,Yes,10,"""""""""""""""Ugliest bitches I've ever fucking seen"""""""".""""""",Yes,5,ugliest bitches I have ever seen,Yes,8,you're one of the ugliest bitches I've ever fucking seen
Q: You&#039;re really rude. What the heck is your problem?<br>A: i dunno what's yours?,Yes,3,You're really rude i dunno what's yours?,No,0,,Yes,3,You're really rude.
Q: you&#039;re the bitch :) fuck off.<br>A: I'm not a dog hun,Yes,7,you're the bitch :) fuck off.,Yes,6,"""""""you're the bitch, fuck off.""""""",Yes,5,you're the bitch
Q: your a fake. your a fake for calling the REAL hailey fake on her formspring. what a lame bitch :)<br>A: your lame for no leaving your stupid username,Yes,3,"""""""""""""""your a fake, your a fake"""""""" and """"""""what a lame bitch""""""""""""""",Yes,10,lame bitch,Yes,1,Q: your a fake. your a fake for calling the REAL hailey fake on her formspring. what a lame bitch :) A: your lame for no leaving your stupid username
Q: your a fuckin ugly bitch you look like a man in the face :)<br>A: whatever you say (:,Yes,7,you are an ugly bitch and you look like a man,Yes,9,"""""""""""""""your a fuckin ugly bitch you look like a man in the face""""""""""""""",Yes,1,your a fuckin ugly bitch
Q: your background stupid tooo<br>A: like your face,Yes,3,your background stupid tooo like your face,No,0,,Yes,4,your background stupid tooo like your face
Q: your come backs are fucking horrible you dumb bitch. wtf  are you like fucking five? you&#039;re like. &#039;i know you are but what am i?&#039; yeahhhh. no. bitch get a fucking life.<br>A: i have one unlike you hun,Yes,6,you dumb bitch. are you like fucking five. bitch get a fucking life.,Yes,2,"""""""your come backs are fucking horrible you dumb bitch. wtf, are you like fucking five? you're like. 'i know you are but what am i?' yeahhhh. no. bitch get a fucking life.""""""",Yes,6,"""""""fucking horrible you dumb bitch. wtf, are you like fucking five? bitch get a fucking life."""""""
Q: Your comebacks suck balls<br>A: like i said do yours,Yes,4,suck,Yes,2,: Your comebacks suck balls,No,0,
Q: Your comebacks suck balls<br>A: so do yours,Yes,8,suck balls,Yes,1,comebacks suck balls,No,0,
Q: Your face is nastyy<br>A: your just jealous,Yes,7,"""""""""""""""Your face is nastyy""""""""""""""",Yes,8,"""""""""""""""Your face is nastyy""""""""""""""",Yes,5,face is nastyy
Q: your fucking ugly.<br>A: like your mom,Yes,8,your fucking ugly,Yes,8,"""""""""""""""fucking ugly"""""""" """"""""like your mom""""""""""""""",,2,Q: your fucking ugly. A: like your mom
Q: your mad ugly. true talk.<br>A: like your face,Yes,4,Q: your mad ugly. true talk.,Yes,5,your mad ugly,Yes,1,mad ugly
Q: your not FUCKING pretty  stop hating on grace and all these pretty girls  your just jealous. omg<br>A: why would i wanna be jealous of them?,Yes,8,"""""""your not FUCKING pretty, stop hating on grace and all these pretty girls, your just jealous. omg""""""",Yes,10,"""""""""""""""your not FUCKING pretty""""""""""""""",Yes,4,your not FUCKING pretty
Q: Your probably the one faking KAI! HUH! FUCKING BITCH!<br>A: hun i have a life unlike you,Yes,4,"""""""faking, fucking bitch""""""",Yes,4,"""""""""""""""KAI! HUH! FUCKING BITCH!""""""""""""""",Yes,2,These two posters appear to be in some type of argument.
Q: Your so fucking immature I&#039;m sorry you have no friends so you have to be rude to everyone<br>A: your just jealous im sexy and your not :P stupid Anonymous show your face faggot,Yes,7,"""""""""""""""fucking immature"""""""" """"""""faggot"""""""" """"""""you have no friends""""""""""""""",Yes,10,fucking immature I'm sorry you have no friends so you have to be rude to everyone stupid Anonymous show your face faggot,Yes,9,Q: Your so fucking immature I'm sorry you have no friends so you have to be rude to everyone A: your just jealous im sexy and your not :P stupid Anonymous show your face faggot
Q: your thing says your very sexy.. lololol hah ! LIES ! ! :)<br>A: stalker much?,Yes,7,your thing says your very sexy.. lololol hah ! LIES ! ! :),Yes,2,lololol hah! Lies!!!,No,0,
Q: your ugly as fuuuuck ( : betty is 10000% prettier than youuu  so stopp being a bitchhh.<br>A: psh yea right,Yes,10,your ugly as fuuuuck,Yes,6,your ugly. stop being a bitch,Yes,8,"""""""""""""""your ugly as fuuuuck ( : betty is 10000% prettier than youuu, so stopp being a bitchhh."""""""""""""""
Q: your ugly<br>A: your momma,Yes,5,your ugly,Yes,7,"""""""""""""""your ugly"""""""" """"""""your momma:""""""",Yes,7,"""""""ugly, momma"""""""
Q: YOURE UGLY (:<br>A: stop talking about yourself :),Yes,2,UGLY,Yes,2,YOURE UGLY (:,No,0,
Q: ahaa ge i wonder ? [; ha  i likee you kidd <3<br>A: Awww maybe you should tell me who you are so we can get to know each other  KID ;) <3,No,0,,No,0,,Yes,3,tell me who you are so we can get to know
Q: andrew once again stop talking to MY friends. nobody likes you. you think your hot shit and thats whats annoying. bye failed rapist :)<br>A: Hahahaha :D,Yes,1,nobody likes you,Yes,8,stop talking to MY friends. nobody likes you. you think your hot shit and thats whats annoying. bye failed rapist,Yes,8,"""""""""""""""nobody likes you.  you think your hot shit and thats whats annoying. bye failed rapist"""""""""""""""
Q: ASSHOLE<br>A: ???,Yes,7,"""""""""""""""ASSHOLE""""""""""""""",Yes,4,ASSHOLE,Yes,6,"""""""""""""""ASSHOLE"""""""" -- name calling"""""""
